title,slug,description,difficulty,inputFormat,outputFormat,constraints,examples,starterCodes,testCases,hints,editorial,tags,companies,sheets,source,sourceId,timeLimit,memoryLimit,isPublished,createdBy
Two Sum,two-sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target.

You may assume that each input would have exactly one solution, and you may not use the same element twice.

You can return the answer in any order.",Easy,,,"[""2 <= nums.length <= 10^4"",""-10^9 <= nums[i] <= 10^9"",""-10^9 <= target <= 10^9"",""Only one valid answer exists.""]","[{""input"":""nums = [2,7,11,15], target = 9"",""output"":""[0,1]"",""explanation"":""Because nums[0] + nums[1] == 9, we return [0, 1].""},{""input"":""nums = [3,2,4], target = 6"",""output"":""[1,2]""}]","[{""language"":""cpp"",""starterCode"":""class Solution {\npublic:\n    vector<int> twoSum(vector<int>& nums, int target) {\n        \n    }\n};"",""functionSignature"":""""},{""language"":""java"",""starterCode"":""class Solution {\n    public int[] twoSum(int[] nums, int target) {\n        \n    }\n}"",""functionSignature"":""""},{""language"":""python"",""starterCode"":""class Solution:\n    def twoSum(self, nums: List[int], target: int) -> List[int]:\n        "",""functionSignature"":""""},{""language"":""javascript"",""starterCode"":""/**\n * @param {number[]} nums\n * @param {number} target\n * @return {number[]}\n */\nvar twoSum = function(nums, target) {\n    \n};"",""functionSignature"":""""}]","[{""input"":""[2,7,11,15]\n9"",""expectedOutput"":""[0,1]"",""isHidden"":false,""weight"":1},{""input"":""[3,2,4]\n6"",""expectedOutput"":""[1,2]"",""isHidden"":false,""weight"":1},{""input"":""[3,3]\n6"",""expectedOutput"":""[0,1]"",""isHidden"":true,""weight"":1}]",[],,"Array, Hashing","Amazon, Google, Microsoft",Blind75,leetcode,1,2000,256,true,system
Valid Parentheses,valid-parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid.

An input string is valid if:
1. Open brackets must be closed by the same type of brackets.
2. Open brackets must be closed in the correct order.
3. Every close bracket has a corresponding open bracket of the same type.",Easy,,,"[""1 <= s.length <= 10^4"",""s consists of parentheses only '()[]{}'.""]","[{""input"":""s = \""()\"""",""output"":""true""},{""input"":""s = \""()[]{}\"""",""output"":""true""},{""input"":""s = \""(]\"""",""output"":""false""}]","[{""language"":""cpp"",""starterCode"":""class Solution {\npublic:\n    bool isValid(string s) {\n        \n    }\n};"",""functionSignature"":""""},{""language"":""java"",""starterCode"":""class Solution {\n    public boolean isValid(String s) {\n        \n    }\n}"",""functionSignature"":""""},{""language"":""python"",""starterCode"":""class Solution:\n    def isValid(self, s: str) -> bool:\n        "",""functionSignature"":""""},{""language"":""javascript"",""starterCode"":""/**\n * @param {string} s\n * @return {boolean}\n */\nvar isValid = function(s) {\n    \n};"",""functionSignature"":""""}]","[{""input"":""()"",""expectedOutput"":""true"",""isHidden"":false,""weight"":1},{""input"":""()[]{}"",""expectedOutput"":""true"",""isHidden"":false,""weight"":1},{""input"":""(]"",""expectedOutput"":""false"",""isHidden"":true,""weight"":1}]",[],,"Stack, String","Microsoft, Amazon, Bloomberg",Blind75,leetcode,2,2000,256,true,system
Merge Two Sorted Lists,merge-two-sorted-lists,"You are given the heads of two sorted linked lists list1 and list2.

Merge the two lists into one sorted list. The list should be made by splicing together the nodes of the first two lists.

Return the head of the merged linked list.",Easy,,,"[""The number of nodes in both lists is in the range [0, 50]."",""-100 <= Node.val <= 100"",""Both list1 and list2 are sorted in non-decreasing order.""]","[{""input"":""list1 = [1,2,4], list2 = [1,3,4]"",""output"":""[1,1,2,3,4,4]""},{""input"":""list1 = [], list2 = []"",""output"":""[]""}]","[{""language"":""cpp"",""starterCode"":""class Solution {\npublic:\n    ListNode* mergeTwoLists(ListNode* list1, ListNode* list2) {\n        \n    }\n};"",""functionSignature"":""""},{""language"":""java"",""starterCode"":""class Solution {\n    public ListNode mergeTwoLists(ListNode list1, ListNode list2) {\n        \n    }\n}"",""functionSignature"":""""},{""language"":""python"",""starterCode"":""class Solution:\n    def mergeTwoLists(self, list1: Optional[ListNode], list2: Optional[ListNode]) -> Optional[ListNode]:\n        "",""functionSignature"":""""},{""language"":""javascript"",""starterCode"":""var mergeTwoLists = function(list1, list2) {\n    \n};"",""functionSignature"":""""}]","[{""input"":""[1,2,4]\n[1,3,4]"",""expectedOutput"":""[1,1,2,3,4,4]"",""isHidden"":false,""weight"":1},{""input"":""[]\n[]"",""expectedOutput"":""[]"",""isHidden"":true,""weight"":1}]",[],,"Linked List, Recursion","Amazon, Apple, Microsoft",Blind75,leetcode,3,2000,256,true,system
Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,"You are given an array prices where prices[i] is the price of a given stock on the ith day.

You want to maximize your profit by choosing a single day to buy one stock and choosing a different day in the future to sell that stock.

Return the maximum profit you can achieve from this transaction. If you cannot achieve any profit, return 0.",Easy,,,"[""1 <= prices.length <= 10^5"",""0 <= prices[i] <= 10^4""]","[{""input"":""prices = [7,1,5,3,6,4]"",""output"":""5"",""explanation"":""Buy on day 2 (price = 1) and sell on day 5 (price = 6), profit = 6-1 = 5.""},{""input"":""prices = [7,6,4,3,1]"",""output"":""0"",""explanation"":""In this case, no transactions are done and the max profit = 0.""}]","[{""language"":""cpp"",""starterCode"":""class Solution {\npublic:\n    int maxProfit(vector<int>& prices) {\n        \n    }\n};"",""functionSignature"":""""},{""language"":""java"",""starterCode"":""class Solution {\n    public int maxProfit(int[] prices) {\n        \n    }\n}"",""functionSignature"":""""},{""language"":""python"",""starterCode"":""class Solution:\n    def maxProfit(self, prices: List[int]) -> int:\n        "",""functionSignature"":""""},{""language"":""javascript"",""starterCode"":""var maxProfit = function(prices) {\n    \n};"",""functionSignature"":""""}]","[{""input"":""[7,1,5,3,6,4]"",""expectedOutput"":""5"",""isHidden"":false,""weight"":1},{""input"":""[7,6,4,3,1]"",""expectedOutput"":""0"",""isHidden"":true,""weight"":1}]",[],,"Array, Two Pointers, Sliding Window","Amazon, Goldman Sachs, Facebook",Blind75,seed,best-time-to-buy-and-sell-stock,2000,256,true,system
Contains Duplicate,contains-duplicate,"Given an integer array nums, return true if any value appears at least twice in the array, and return false if every element is distinct.",Easy,,,"[""1 <= nums.length <= 10^5"",""-10^9 <= nums[i] <= 10^9""]","[{""input"":""nums = [1,2,3,1]"",""output"":""true""},{""input"":""nums = [1,2,3,4]"",""output"":""false""}]","[{""language"":""cpp"",""starterCode"":""class Solution {\npublic:\n    bool containsDuplicate(vector<int>& nums) {\n        \n    }\n};"",""functionSignature"":""""},{""language"":""java"",""starterCode"":""class Solution {\n    public boolean containsDuplicate(int[] nums) {\n        \n    }\n}"",""functionSignature"":""""},{""language"":""python"",""starterCode"":""class Solution:\n    def containsDuplicate(self, nums: List[int]) -> bool:\n        "",""functionSignature"":""""},{""language"":""javascript"",""starterCode"":""var containsDuplicate = function(nums) {\n    \n};"",""functionSignature"":""""}]","[{""input"":""[1,2,3,1]"",""expectedOutput"":""true"",""isHidden"":false,""weight"":1},{""input"":""[1,2,3,4]"",""expectedOutput"":""false"",""isHidden"":true,""weight"":1}]",[],,"Array, Hashing, Sorting","Amazon, Adobe, Palantir",Blind75,seed,contains-duplicate,2000,256,true,system
Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,"Given a string s, find the length of the longest substring without repeating characters.",Medium,,,"[""0 <= s.length <= 5 * 10^4"",""s consists of English letters, digits, symbols and spaces.""]","[{""input"":""s = \""abcabcbb\"""",""output"":""3"",""explanation"":""The answer is \""abc\"", with the length of 3.""},{""input"":""s = \""bbbbb\"""",""output"":""1"",""explanation"":""The answer is \""b\"", with the length of 1.""},{""input"":""s = \""pwwkew\"""",""output"":""3"",""explanation"":""The answer is \""wke\"", with the length of 3.""}]","[{""language"":""cpp"",""starterCode"":""class Solution {\npublic:\n    int lengthOfLongestSubstring(string s) {\n        \n    }\n};"",""functionSignature"":""""},{""language"":""java"",""starterCode"":""class Solution {\n    public int lengthOfLongestSubstring(String s) {\n        \n    }\n}"",""functionSignature"":""""},{""language"":""python"",""starterCode"":""class Solution:\n    def lengthOfLongestSubstring(self, s: str) -> int:\n        "",""functionSignature"":""""},{""language"":""javascript"",""starterCode"":""var lengthOfLongestSubstring = function(s) {\n    \n};"",""functionSignature"":""""}]","[{""input"":""abcabcbb"",""expectedOutput"":""3"",""isHidden"":false,""weight"":1},{""input"":""bbbbb"",""expectedOutput"":""1"",""isHidden"":true,""weight"":1}]",[],,"Sliding Window, String, Hashing","Adobe, Uber, Amazon, Google",Blind75,seed,longest-substring-without-repeating-characters,2000,256,true,system
3Sum,3sum,"Given an integer array nums, return all the triplets [nums[i], nums[j], nums[k]] such that i != j, i != k, j != k, and nums[i] + nums[j] + nums[k] == 0.

Notice that the solution set must not contain duplicate triplets.",Medium,,,"[""3 <= nums.length <= 3000"",""-10^5 <= nums[i] <= 10^5""]","[{""input"":""nums = [-1,0,1,2,-1,-4]"",""output"":""[[-1,-1,2],[-1,0,1]]""},{""input"":""nums = [0,1,1]"",""output"":""[]""},{""input"":""nums = [0,0,0]"",""output"":""[[0,0,0]]""}]","[{""language"":""cpp"",""starterCode"":""class Solution {\npublic:\n    vector<vector<int>> threeSum(vector<int>& nums) {\n        \n    }\n};"",""functionSignature"":""""},{""language"":""java"",""starterCode"":""class Solution {\n    public List<List<Integer>> threeSum(int[] nums) {\n        \n    }\n}"",""functionSignature"":""""},{""language"":""python"",""starterCode"":""class Solution:\n    def threeSum(self, nums: List[int]) -> List[List[int]]:\n        "",""functionSignature"":""""},{""language"":""javascript"",""starterCode"":""var threeSum = function(nums) {\n    \n};"",""functionSignature"":""""}]","[{""input"":""[-1,0,1,2,-1,-4]"",""expectedOutput"":""[[-1,-1,2],[-1,0,1]]"",""isHidden"":false,""weight"":1}]",[],,"Array, Two Pointers, Sorting","Flipkart, Meta, Amazon, Microsoft","Blind75, Striver",seed,3sum,2000,256,true,system
Binary Tree Level Order Traversal,binary-tree-level-order-traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Medium,,,"[""The number of nodes in the tree is in the range [0, 2000]."",""-1000 <= Node.val <= 1000""]","[{""input"":""root = [3,9,20,null,null,15,7]"",""output"":""[[3],[9,20],[15,7]]""},{""input"":""root = [1]"",""output"":""[[1]]""},{""input"":""root = []"",""output"":""[]""}]","[{""language"":""cpp"",""starterCode"":""class Solution {\npublic:\n    vector<vector<int>> levelOrder(TreeNode* root) {\n        \n    }\n};"",""functionSignature"":""""},{""language"":""java"",""starterCode"":""class Solution {\n    public List<List<Integer>> levelOrder(TreeNode root) {\n        \n    }\n}"",""functionSignature"":""""},{""language"":""python"",""starterCode"":""class Solution:\n    def levelOrder(self, root: Optional[TreeNode]) -> List[List[int]]:\n        "",""functionSignature"":""""},{""language"":""javascript"",""starterCode"":""var levelOrder = function(root) {\n    \n};"",""functionSignature"":""""}]","[{""input"":""[3,9,20,null,null,15,7]"",""expectedOutput"":""[[3],[9,20],[15,7]]"",""isHidden"":false,""weight"":1}]",[],,"Tree, BFS, Queue","Google, Amazon, Microsoft, Bloomberg",Striver,seed,binary-tree-level-order-traversal,2000,256,true,system
Course Schedule,course-schedule,"There are a total of numCourses courses you have to take, labeled from 0 to numCourses - 1. You are given an array prerequisites where prerequisites[i] = [ai, bi] indicates that you must take course bi first if you want to take course ai.

Return true if you can finish all courses. Otherwise, return false.",Medium,,,"[""1 <= numCourses <= 2000"",""0 <= prerequisites.length <= 5000""]","[{""input"":""numCourses = 2, prerequisites = [[1,0]]"",""output"":""true"",""explanation"":""There are 2 courses. Take course 0 first, then course 1.""},{""input"":""numCourses = 2, prerequisites = [[1,0],[0,1]]"",""output"":""false"",""explanation"":""There are 2 courses. To take course 0 you must take course 1, and to take course 1 you must take course 0. This is impossible.""}]","[{""language"":""cpp"",""starterCode"":""class Solution {\npublic:\n    bool canFinish(int numCourses, vector<vector<int>>& prerequisites) {\n        \n    }\n};"",""functionSignature"":""""},{""language"":""java"",""starterCode"":""class Solution {\n    public boolean canFinish(int numCourses, int[][] prerequisites) {\n        \n    }\n}"",""functionSignature"":""""},{""language"":""python"",""starterCode"":""class Solution:\n    def canFinish(self, numCourses: int, prerequisites: List[List[int]]) -> bool:\n        "",""functionSignature"":""""},{""language"":""javascript"",""starterCode"":""var canFinish = function(numCourses, prerequisites) {\n    \n};"",""functionSignature"":""""}]","[{""input"":""2\n[[1,0]]"",""expectedOutput"":""true"",""isHidden"":false,""weight"":1},{""input"":""2\n[[1,0],[0,1]]"",""expectedOutput"":""false"",""isHidden"":true,""weight"":1}]",[],,"Graph, Topological Sort, BFS, DFS","Google, Amazon, Uber, Facebook",Blind75,seed,course-schedule,2000,256,true,system
Merge K Sorted Lists,merge-k-sorted-lists,"You are given an array of k linked-lists lists, each linked-list is sorted in ascending order.

Merge all the linked-lists into one sorted linked-list and return it.",Hard,,,"[""k == lists.length"",""0 <= k <= 10^4"",""0 <= lists[i].length <= 500""]","[{""input"":""lists = [[1,4,5],[1,3,4],[2,6]]"",""output"":""[1,1,2,3,4,4,5,6]""},{""input"":""lists = []"",""output"":""[]""}]","[{""language"":""cpp"",""starterCode"":""class Solution {\npublic:\n    ListNode* mergeKLists(vector<ListNode*>& lists) {\n        \n    }\n};"",""functionSignature"":""""},{""language"":""java"",""starterCode"":""class Solution {\n    public ListNode mergeKLists(ListNode[] lists) {\n        \n    }\n}"",""functionSignature"":""""},{""language"":""python"",""starterCode"":""class Solution:\n    def mergeKLists(self, lists: List[Optional[ListNode]]) -> Optional[ListNode]:\n        "",""functionSignature"":""""},{""language"":""javascript"",""starterCode"":""var mergeKLists = function(lists) {\n    \n};"",""functionSignature"":""""}]","[{""input"":""[[1,4,5],[1,3,4],[2,6]]"",""expectedOutput"":""[1,1,2,3,4,4,5,6]"",""isHidden"":false,""weight"":1}]",[],,"Heap, Linked List, Divide and Conquer","Google, Microsoft, Amazon, Uber",Blind75,seed,merge-k-sorted-lists,2000,256,true,system
